,text,label
0,쇼는 참 잘해,0
1,저새끼 막판 탄핵으로 못 끌어내리냐 연금쳐받는것도 좆같은데,1
2,윤석열은 집안 비리 수사 하는것에 따라 탄핵 될지 안될지 결정 될 듯.,0
3,이새끼는 맨날 삐지고 격노하고 ㅅㅂ,1
4,이랬다 저랬다 협조하는척 하다가 격노하다가 난리났노,0
5,"여윽시 엄빠가 없는 분들이 뽑은 19대 머통령 문재인
개념도 없고 상식도 없쥬",1
6,진짜 꼭 부정선거 조사 철저히 해야함. 이거 안하면 계속 지들이 국민 절반의 지지를 받는다고 생각해서 계속 저럴거 같다.,1
7,그냥 처음 계획대로 광화문가라대통령 출근하는 신호 안 잡으면 되는데 왜 신호 잡아서 출근길 막히게 하냐용산은 상징성도 없고국민과의 접점도 적다.힘들지만 정부청사로 가야한다.경호고 나발이고 그냥 다 쌩까라.그거 그새끼들 일하기 싫어서 하는 소리다.지금이라도 소란 일으켜서 죄송하다고 하고정부청사 정문으로 걸어서 출근해라.바로 뒤에 호텔하나 잡아서 걸어서 출근하라.그거 경호 하라고 군인들 경찰들 경호원들 월급주는거다.무슨 씨발 장소따라 경호가 되고 안되고 하면 경호 미쳤다고 쓰나그냥 혼자 다니지광화문으로 집무실 옮기고 nsc 회의는 앞으로 국방부 가서 햬라 - dc App,1
8,그럼 대선불복하고 7시에서 독립하세요 씨빨재앙님아,1
9,도청하고 있다가 짱깨 앞잡이가 지랄하는거 아니냐?,1
10,문재인은 국가보다 지 기싸움만 중요해 ㅋㅋㅋ,0
11,감옥 드갈 준비나해라 씨발 뭔 말이많아,1
12,왕따 당하는데 이유는 없지만 문재인이 왕따 당하는데는 이유가 있다,0
13,이건 그냥 꼬장부리는거 밖에 안대는데 씹병신새끼가 갈때까지 지랄 할라고 하네,1
14,문재앙 이새끼 말만 저러고 실제론 죄다 반대중 ㅋㅋ,1
15,노애미 좆재앙 깝치노 외 뻗대노 뉘에뉘에해도 모자랄판에 콩밥 맛나게 잘묵겟놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
16,마누라랑 깜방이나 가라고,0
17,역대급 국가부채도 다 다음 정부 부담으로 떠넘기고 임기말 인사권 행사로 끝까지 괴롭히려고 하네 ㅋㅋ 누가 인수인계를 이런 식으로 하냐 대한민국의 적이다,0
18,이걸로 확실해졌다 문재앙이는 감빵간다,0
19,역시 씨발문재인좆밥새끼 좀스런 개새끼 국민 고소한 그 좆만한 간땡이 마지막에도 드러나네 개병신애미뒤진좌파빨갱이새끼 대학 동아리방에서 여자따먹고 운동권 데모후 떼씹하던시절로돌아가고싶지? 마누라도좆같이생겨갖고 씨발개병신버러지씨팔씹새끼 ㅋㅋ 미친씨발년아 평생감옥에서썩다뒤지길 ㅋㅋ,1
20,저새끼에 대한 평 있지않냐 노무현은 남의 말 잘 안들어도 맞다 싶으면 그대로 따랐는데 저새끼는 듣기는 하는데 그냥 지좃대로 한다고ㅋㅋㅋㅋ,1
21,역시 좌파병신 씹새끼들의 수장이다보니 북한 주사파 주체사상따르는 자들답게 공산빨갱이들 전략인 화전양면전술을 두루사용하네 거짓과선동날조가 주무기인 빨갱이다운 면모야 ㅋㅋ,1
22,좀생이노 문재앙 - dc App,0
23,문재앙 씨발새끼야 방좀 빼라고,1
24,문재앙 고집 모르냐 절대 안굽힘,0
25,어차피 꺼질 새끼가 텃세 알박기는 엄청 열심히 하네,1
26,이랬다저랬다 씨발ㅋㅋㅋ 감옥가기싫으면 확실하게 기어라,1
27,이미 알박기 다 하고 착한척ㅋㅋㅋ,0
28,예수천국 불신지옥,0
29,마지막으로 막 꽂아넣으려고했더니 임명거부 당하고 슬슬 눈치보이나봄 ㅋㅋ,0
30,깜방가고 싶구나 재앙이,0
31,ㅋㅋㅋㅋ 종북식 협치 화전양면전술ㅋㅋㅋㅋㅋ,0
32,문재인 반드시 체포해서 정치적 불구로 만들어야 한다,0
33,진짜 개추하노 ㅋㅋㅋㅋㅋㅋㅋ,0
34,피싸개식 기싸움 작작 좀 해라 재앙아 어휴.......,0
35,야 이 개새끼야 귀 쳐막고 니 할말만 하면서 얘기하면 협의 하겠다는게 뭔 좃빠는 소리냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
36,"문재인 새끼는 드레스덴 연설문을 최순실이 고쳤다는 헛소리를 하더니 정작 자신 취임 연설문은 청와대 비서관이 써줬다고 그 다음날 신문에 나오대 ㅋㅋㅋ 거기에 박근혜보고 직권남용, 강요죄를 뒤집어 씌우더니 평창올림픽 공공, 사기업 상대로 표팔이 강매 거기에 지 동창 울산시장 선거개입, 우한폐렴 짱깨 극진히 대접, 연평도 피격 살해, 무인도인 함박도 기습점거, 동해 탈북자 북한말만 듣고 그대로 돌려보내 총살, 북한 핵,icbm 완성하는데 적성국가를 도움(여적죄), 연평도 포격의 주범 김영철을 극진히 대접하여 산화한 영웅 및 민간인 사망자와 그의 가족을 모욕. 기준없는 국제외교로 세계무대에서 고립. 렉서스 타면서 반일감정을 선거를 치루는데 이용. 자살자수 출산율 최저를 갱신하는데 청와대에서 먹고 즐기고 자신의가족",1
37,재앙이 언플 줫나 하네 씨발럼이,1
38,청와대에서 존버하면서 회동 개판치려 했는데 임기끝나면 대통령 집무실 바뀜 ㅋㅋ,0
